,api_element,cq,suggest_sen,kwd
424,"Class.getMethod(String name, Class<?>... parameterTypes)","what's the parameter of Class.getMethod(String name, Class<?>... parameterTypes)?","the parameter of Class.getMethod(String name, Class<?>... parameterTypes) should be  the name of the method.","['parameter', 'Class.getMethod(String name, Class<?>... parameterTypes)']"
425,Class.getConstructor(Class<?>... parameterTypes),what's the return of Class.getConstructor(Class<?>... parameterTypes)?,"the return of Class.getConstructor(Class<?>... parameterTypes) should be a Constructor object that reflects the specified public constructor of the class represented by this Class object. The parameterTypes parameter is an array of Class objects that identify the constructor's formal parameter types, in declared order. If this Class object represents an inner class declared in a non-static context, the formal parameter types include the explicit enclosing instance as the first parameter..","['return', 'Class.getConstructor(Class<?>... parameterTypes)']"
426,Class.getDeclaredClasses(),what's the return of Class.getDeclaredClasses()?,"the return of Class.getDeclaredClasses() should be an array of Class objects reflecting all the classes and interfaces declared as members of the class represented by this Class object. This includes public, protected, default (package) access, and private classes and interfaces declared by the class, but excludes inherited classes and interfaces. This method returns an array of length 0 if the class declares no classes or interfaces as members, or if this Class object represents a primitive type, an array class, or void..","['return', 'Class.getDeclaredClasses()']"
427,Class.getDeclaredFields(),what's the return of Class.getDeclaredFields()?,"the return of Class.getDeclaredFields() should be an array of Field objects reflecting all the fields declared by the class or interface represented by this Class object. This includes public, protected, default (package) access, and private fields, but excludes inherited fields..","['return', 'Class.getDeclaredFields()']"
428,Class.getDeclaredMethods(),what's the return of Class.getDeclaredMethods()?,"the return of Class.getDeclaredMethods() should be an array containing Method objects reflecting all the declared methods of the class or interface represented by this Class object, including public, protected, default (package) access, and private methods, but excluding inherited methods..","['return', 'Class.getDeclaredMethods()']"
429,Class.getDeclaredConstructors(),what's the return of Class.getDeclaredConstructors()?,"the return of Class.getDeclaredConstructors() should be an array of Constructor objects reflecting all the constructors declared by the class represented by this Class object. These are public, protected, default (package) access, and private constructors. The elements in the array returned are not sorted and are not in any particular order. If the class has a default constructor, it is included in the returned array. This method returns an array of length 0 if this Class object represents an interface, a primitive type, an array class, or void..","['return', 'Class.getDeclaredConstructors()']"
430,Class.getDeclaredField(String name),what's the return of Class.getDeclaredField(String name)?,the return of Class.getDeclaredField(String name) should be a Field object that reflects the specified declared field of the class or interface represented by this Class object. The name parameter is a String that specifies the simple name of the desired field..,"['return', 'Class.getDeclaredField(String name)']"
431,Class.getDeclaredField(String name),what's the parameter of Class.getDeclaredField(String name)?,the parameter of Class.getDeclaredField(String name) should be  the name of the field.,"['parameter', 'Class.getDeclaredField(String name)']"
432,"Class.getDeclaredMethod(String name, Class<?>... parameterTypes)","what's the return of Class.getDeclaredMethod(String name, Class<?>... parameterTypes)?","the return of Class.getDeclaredMethod(String name, Class<?>... parameterTypes) should be a Method object that reflects the specified declared method of the class or interface represented by this Class object. The name parameter is a String that specifies the simple name of the desired method, and the parameterTypes parameter is an array of Class objects that identify the method's formal parameter types, in declared order. If more than one method with the same parameter types is declared in a class, and one of these methods has a return type that is more specific than any of the others, that method is returned; otherwise one of the methods is chosen arbitrarily. If the name is ""<init>""or ""<clinit>"" a NoSuchMethodException is raised..","['return', 'Class.getDeclaredMethod(String name, Class<?>... parameterTypes)']"
433,"Class.getDeclaredMethod(String name, Class<?>... parameterTypes)","what's the parameter of Class.getDeclaredMethod(String name, Class<?>... parameterTypes)?","the parameter of Class.getDeclaredMethod(String name, Class<?>... parameterTypes) should be  the name of the method.","['parameter', 'Class.getDeclaredMethod(String name, Class<?>... parameterTypes)']"
434,Class.getDeclaredConstructor(Class<?>... parameterTypes),what's the return of Class.getDeclaredConstructor(Class<?>... parameterTypes)?,"the return of Class.getDeclaredConstructor(Class<?>... parameterTypes) should be a Constructor object that reflects the specified constructor of the class or interface represented by this Class object. The parameterTypes parameter is an array of Class objects that identify the constructor's formal parameter types, in declared order. If this Class object represents an inner class declared in a non-static context, the formal parameter types include the explicit enclosing instance as the first parameter..","['return', 'Class.getDeclaredConstructor(Class<?>... parameterTypes)']"
435,Class.getResourceAsStream(String name),what's the return of Class.getResourceAsStream(String name)?,"the return of Class.getResourceAsStream(String name) should be A InputStream object or null if
              no resource with this name is found.","['return', 'Class.getResourceAsStream(String name)']"
436,Class.getResourceAsStream(String name),what's the parameter of Class.getResourceAsStream(String name)?,the parameter of Class.getResourceAsStream(String name) should be  name of the desired resource.,"['parameter', 'Class.getResourceAsStream(String name)']"
437,Class.getResource(String name),what's the return of Class.getResource(String name)?,"the return of Class.getResource(String name) should be A  URL object or null if no
              resource with this name is found.","['return', 'Class.getResource(String name)']"
438,Class.getResource(String name),what's the parameter of Class.getResource(String name)?,the parameter of Class.getResource(String name) should be  name of the desired resource.,"['parameter', 'Class.getResource(String name)']"
439,Class.getProtectionDomain(),what's the return of Class.getProtectionDomain()?,"the return of Class.getProtectionDomain() should be the ProtectionDomain of this class. If there is a security manager installed, this method first calls the security manager's checkPermission method with a RuntimePermission(""getProtectionDomain"") permission to ensure it's ok to get the ProtectionDomain..","['return', 'Class.getProtectionDomain()']"
440,Class.desiredAssertionStatus(),what's the return of Class.desiredAssertionStatus()?,"the return of Class.desiredAssertionStatus() should be the assertion status that would be assigned to this class if it were to be initialized at the time this method is invoked. If this class has had its assertion status set, the most recent setting will be returned; otherwise, if any package default assertion status pertains to this class, the most recent setting for the most specific pertinent package default assertion status is returned; otherwise, if this class is not a system class (i.e., it has a class loader) its class loader's default assertion status is returned; otherwise, the system class default assertion status is returned..","['return', 'Class.desiredAssertionStatus()']"
441,Class.isEnum(),what's the return of Class.isEnum()?,the return of Class.isEnum() should be true if and only if this class was declared as an enum in the source code..,"['return', 'Class.isEnum()']"
442,Class.getEnumConstants(),what's the return of Class.getEnumConstants()?,the return of Class.getEnumConstants() should be the elements of this enum class or null if this Class object does not represent an enum type..,"['return', 'Class.getEnumConstants()']"
443,Class.cast(Object obj),what's the return of Class.cast(Object obj)?,"the return of Class.cast(Object obj) should be the object after casting, or null if obj is null.","['return', 'Class.cast(Object obj)']"
444,Class.cast(Object obj),what's the parameter of Class.cast(Object obj)?,the parameter of Class.cast(Object obj) should be  the object to be cast.,"['parameter', 'Class.cast(Object obj)']"
445,Class.asSubclass(Class<U> clazz),what's the return of Class.asSubclass(Class<U> clazz)?,"the return of Class.asSubclass(Class<U> clazz) should be this Class object, cast to represent a subclass of
    the specified class object..","['return', 'Class.asSubclass(Class<U> clazz)']"
446,AnnotatedElement.getAnnotation(Class<A> annotationClass),what's the return of AnnotatedElement.getAnnotation(Class<A> annotationClass)?,"the return of AnnotatedElement.getAnnotation(Class<A> annotationClass) should be this element's annotation for the specified annotation type if
     present on this element, else null.","['return', 'AnnotatedElement.getAnnotation(Class<A> annotationClass)']"
447,AnnotatedElement.isAnnotationPresent(Class<? extends Annotation> annotationClass),what's the return of AnnotatedElement.isAnnotationPresent(Class<? extends Annotation> annotationClass)?,"the return of AnnotatedElement.isAnnotationPresent(Class<? extends Annotation> annotationClass) should be true if an annotation for the specified type is present on this element, else false. This method is designed primarily for convenient access to marker annotations..","['return', 'AnnotatedElement.isAnnotationPresent(Class<? extends Annotation> annotationClass)']"
448,AnnotatedElement.getAnnotationsByType(Class<A> annotationClass),what's the return of AnnotatedElement.getAnnotationsByType(Class<A> annotationClass)?,"the return of AnnotatedElement.getAnnotationsByType(Class<A> annotationClass) should be all this element's annotations for the specified annotation type if
     associated with this element, else an array of length zero.","['return', 'AnnotatedElement.getAnnotationsByType(Class<A> annotationClass)']"
449,AnnotatedElement.getAnnotations(),what's the return of AnnotatedElement.getAnnotations()?,the return of AnnotatedElement.getAnnotations() should be annotations present on this element.,"['return', 'AnnotatedElement.getAnnotations()']"
450,AnnotatedElement.getDeclaredAnnotation(Class<A> annotationClass),what's the return of AnnotatedElement.getDeclaredAnnotation(Class<A> annotationClass)?,"the return of AnnotatedElement.getDeclaredAnnotation(Class<A> annotationClass) should be this element's annotation for the specified annotation type if
     directly present on this element, else null.","['return', 'AnnotatedElement.getDeclaredAnnotation(Class<A> annotationClass)']"
451,AnnotatedElement.getDeclaredAnnotationsByType(Class<A> annotationClass),what's the return of AnnotatedElement.getDeclaredAnnotationsByType(Class<A> annotationClass)?,"the return of AnnotatedElement.getDeclaredAnnotationsByType(Class<A> annotationClass) should be all this element's annotations for the specified annotation type if
     directly or indirectly present on this element, else an array of length zero.","['return', 'AnnotatedElement.getDeclaredAnnotationsByType(Class<A> annotationClass)']"
452,AnnotatedElement.getDeclaredAnnotations(),what's the return of AnnotatedElement.getDeclaredAnnotations()?,the return of AnnotatedElement.getDeclaredAnnotations() should be annotations directly present on this element.,"['return', 'AnnotatedElement.getDeclaredAnnotations()']"
453,Class.getAnnotatedSuperclass(),what's the return of Class.getAnnotatedSuperclass()?,the return of Class.getAnnotatedSuperclass() should be an AnnotatedType object that represents the use of a type to specify the superclass of the entity represented by this Class object. (The use of type Foo to specify the superclass in '... extends Foo' is distinct from the declaration of type Foo.).,"['return', 'Class.getAnnotatedSuperclass()']"
454,Class.getAnnotatedInterfaces(),what's the return of Class.getAnnotatedInterfaces()?,the return of Class.getAnnotatedInterfaces() should be an array of AnnotatedType objects that represent the use of types to specify superinterfaces of the entity represented by this Class object. (The use of type Foo to specify a superinterface in '... implements Foo' is distinct from the declaration of type Foo.).,"['return', 'Class.getAnnotatedInterfaces()']"
455,ClassLoader.loadClass(String name),what's the return of ClassLoader.loadClass(String name)?,the return of ClassLoader.loadClass(String name) should be The resulting Class object.,"['return', 'ClassLoader.loadClass(String name)']"
456,ClassLoader.loadClass(String name),what's the parameter of ClassLoader.loadClass(String name)?,the parameter of ClassLoader.loadClass(String name) should be  The binary name of the class.,"['parameter', 'ClassLoader.loadClass(String name)']"
457,"ClassLoader.loadClass(String name, boolean resolve)","what's the return of ClassLoader.loadClass(String name, boolean resolve)?","the return of ClassLoader.loadClass(String name, boolean resolve) should be resolve - If true then resolve the class.","['return', 'ClassLoader.loadClass(String name, boolean resolve)']"
458,"ClassLoader.loadClass(String name, boolean resolve)","what's the parameter of ClassLoader.loadClass(String name, boolean resolve)?","the parameter of ClassLoader.loadClass(String name, boolean resolve) should be  The binary name of the class.","['parameter', 'ClassLoader.loadClass(String name, boolean resolve)']"
459,ClassLoader.getClassLoadingLock(String className),what's the return of ClassLoader.getClassLoadingLock(String className)?,"the return of ClassLoader.getClassLoadingLock(String className) should be the lock object for class loading operations. For backward compatibility, the default implementation of this method behaves as follows. If this ClassLoader object is registered as parallel capable, the method returns a dedicated object associated with the specified class name. Otherwise, the method returns this ClassLoader object..","['return', 'ClassLoader.getClassLoadingLock(String className)']"
460,ClassLoader.getClassLoadingLock(String className),what's the parameter of ClassLoader.getClassLoadingLock(String className)?,the parameter of ClassLoader.getClassLoadingLock(String className) should be  The name of the to.,"['parameter', 'ClassLoader.getClassLoadingLock(String className)']"
461,ClassLoader.findClass(String name),what's the return of ClassLoader.findClass(String name)?,the return of ClassLoader.findClass(String name) should be The resulting Class object.,"['return', 'ClassLoader.findClass(String name)']"
462,ClassLoader.findClass(String name),what's the parameter of ClassLoader.findClass(String name)?,the parameter of ClassLoader.findClass(String name) should be  The binary name of the class.,"['parameter', 'ClassLoader.findClass(String name)']"
463,"ClassLoader.defineClass(byte[] b, int off, int len)","what's the return of ClassLoader.defineClass(byte[] b, int off, int len)?","the return of ClassLoader.defineClass(byte[] b, int off, int len) should be off - The start offset in b of the class data.","['return', 'ClassLoader.defineClass(byte[] b, int off, int len)']"
464,"ClassLoader.defineClass(String name, byte[] b, int off, int len)","what's the return of ClassLoader.defineClass(String name, byte[] b, int off, int len)?","the return of ClassLoader.defineClass(String name, byte[] b, int off, int len) should be b - The bytes that make up the class data.  The bytes in positions
         off through off+len-1 should have the format
         of a valid class file as defined by
         The Java™ Virtual Machine Specification..","['return', 'ClassLoader.defineClass(String name, byte[] b, int off, int len)']"
465,"ClassLoader.defineClass(String name, byte[] b, int off, int len)","what's the parameter of ClassLoader.defineClass(String name, byte[] b, int off, int len)?","the parameter of ClassLoader.defineClass(String name, byte[] b, int off, int len) should be  The expected binary name of the class, or
         null if not known.","['parameter', 'ClassLoader.defineClass(String name, byte[] b, int off, int len)']"
466,"ClassLoader.defineClass(String name, byte[] b, int off, int len, ProtectionDomain protectionDomain)","what's the return of ClassLoader.defineClass(String name, byte[] b, int off, int len, ProtectionDomain protectionDomain)?","the return of ClassLoader.defineClass(String name, byte[] b, int off, int len, ProtectionDomain protectionDomain) should be b - The bytes that make up the class data. The bytes in positions
         off through off+len-1 should have the format
         of a valid class file as defined by
         The Java™ Virtual Machine Specification..","['return', 'ClassLoader.defineClass(String name, byte[] b, int off, int len, ProtectionDomain protectionDomain)']"
467,"ClassLoader.defineClass(String name, byte[] b, int off, int len, ProtectionDomain protectionDomain)","what's the parameter of ClassLoader.defineClass(String name, byte[] b, int off, int len, ProtectionDomain protectionDomain)?","the parameter of ClassLoader.defineClass(String name, byte[] b, int off, int len, ProtectionDomain protectionDomain) should be  The expected binary name of the class, or
         null if not known.","['parameter', 'ClassLoader.defineClass(String name, byte[] b, int off, int len, ProtectionDomain protectionDomain)']"
468,"ClassLoader.defineClass(String name, byte[] b, int off, int len, ProtectionDomain protectionDomain)","what's the parameter of ClassLoader.defineClass(String name, byte[] b, int off, int len, ProtectionDomain protectionDomain)?","the parameter of ClassLoader.defineClass(String name, byte[] b, int off, int len, ProtectionDomain protectionDomain) should be  The expected binary name of the class, or
         null if not known.","['parameter', 'ClassLoader.defineClass(String name, byte[] b, int off, int len, ProtectionDomain protectionDomain)']"
469,"ClassLoader.defineClass(String name, ByteBuffer b, ProtectionDomain protectionDomain)","what's the return of ClassLoader.defineClass(String name, ByteBuffer b, ProtectionDomain protectionDomain)?","the return of ClassLoader.defineClass(String name, ByteBuffer b, ProtectionDomain protectionDomain) should be b - The bytes that make up the class data. The bytes from positions
         b.position() through b.position() + b.limit() -1
          should have the format of a valid class file as defined by
         The Java™ Virtual Machine Specification..","['return', 'ClassLoader.defineClass(String name, ByteBuffer b, ProtectionDomain protectionDomain)']"
470,"ClassLoader.defineClass(String name, ByteBuffer b, ProtectionDomain protectionDomain)","what's the parameter of ClassLoader.defineClass(String name, ByteBuffer b, ProtectionDomain protectionDomain)?","the parameter of ClassLoader.defineClass(String name, ByteBuffer b, ProtectionDomain protectionDomain) should be  The expected binary name. of the class, or
         null if not known.","['parameter', 'ClassLoader.defineClass(String name, ByteBuffer b, ProtectionDomain protectionDomain)']"
471,"ClassLoader.defineClass(String name, ByteBuffer b, ProtectionDomain protectionDomain)","what's the parameter of ClassLoader.defineClass(String name, ByteBuffer b, ProtectionDomain protectionDomain)?","the parameter of ClassLoader.defineClass(String name, ByteBuffer b, ProtectionDomain protectionDomain) should be  The expected binary name. of the class, or
         null if not known.","['parameter', 'ClassLoader.defineClass(String name, ByteBuffer b, ProtectionDomain protectionDomain)']"
472,"ClassLoader.defineClass(String name, ByteBuffer b, ProtectionDomain protectionDomain)","what's the parameter of ClassLoader.defineClass(String name, ByteBuffer b, ProtectionDomain protectionDomain)?","the parameter of ClassLoader.defineClass(String name, ByteBuffer b, ProtectionDomain protectionDomain) should be  The expected binary name. of the class, or
         null if not known.","['parameter', 'ClassLoader.defineClass(String name, ByteBuffer b, ProtectionDomain protectionDomain)']"
473,ClassLoader.findSystemClass(String name),what's the return of ClassLoader.findSystemClass(String name)?,the return of ClassLoader.findSystemClass(String name) should be The Class object for the specified name.,"['return', 'ClassLoader.findSystemClass(String name)']"
474,ClassLoader.findSystemClass(String name),what's the parameter of ClassLoader.findSystemClass(String name)?,the parameter of ClassLoader.findSystemClass(String name) should be  The binary name of the class.,"['parameter', 'ClassLoader.findSystemClass(String name)']"
475,ClassLoader.findLoadedClass(String name),what's the return of ClassLoader.findLoadedClass(String name)?,the return of ClassLoader.findLoadedClass(String name) should be the class with the given binary name if this loader has been recorded by the Java virtual machine as an initiating loader of a class with that binary name. Otherwise null is returned..,"['return', 'ClassLoader.findLoadedClass(String name)']"
476,ClassLoader.findLoadedClass(String name),what's the parameter of ClassLoader.findLoadedClass(String name)?,the parameter of ClassLoader.findLoadedClass(String name) should be  The binary name of the class.,"['parameter', 'ClassLoader.findLoadedClass(String name)']"
477,ClassLoader.getResource(String name),what's the return of ClassLoader.getResource(String name)?,"the return of ClassLoader.getResource(String name) should be A URL object for reading the resource, or
          null if the resource could not be found or the invoker
          doesn't have adequate  privileges to get the resource..","['return', 'ClassLoader.getResource(String name)']"
478,ClassLoader.getResource(String name),what's the parameter of ClassLoader.getResource(String name)?,the parameter of ClassLoader.getResource(String name) should be  The resource name.,"['parameter', 'ClassLoader.getResource(String name)']"
479,ClassLoader.getResources(String name),what's the return of ClassLoader.getResources(String name)?,"the return of ClassLoader.getResources(String name) should be An enumeration of URL objects for
          the resource.  If no resources could  be found, the enumeration
          will be empty.  Resources that the class loader doesn't have
          access to will not be in the enumeration..","['return', 'ClassLoader.getResources(String name)']"
480,ClassLoader.getResources(String name),what's the parameter of ClassLoader.getResources(String name)?,the parameter of ClassLoader.getResources(String name) should be  The resource name.,"['parameter', 'ClassLoader.getResources(String name)']"
481,ClassLoader.findResource(String name),what's the return of ClassLoader.findResource(String name)?,"the return of ClassLoader.findResource(String name) should be A URL object for reading the resource, or
          null if the resource could not be found.","['return', 'ClassLoader.findResource(String name)']"
482,ClassLoader.findResource(String name),what's the parameter of ClassLoader.findResource(String name)?,the parameter of ClassLoader.findResource(String name) should be  The resource name.,"['parameter', 'ClassLoader.findResource(String name)']"
483,ClassLoader.findResources(String name),what's the return of ClassLoader.findResources(String name)?,the return of ClassLoader.findResources(String name) should be an enumeration of URL objects representing all the resources with the given name. Class loader implementations should override this method to specify where to load resources from..,"['return', 'ClassLoader.findResources(String name)']"
484,ClassLoader.findResources(String name),what's the parameter of ClassLoader.findResources(String name)?,the parameter of ClassLoader.findResources(String name) should be  The resource name.,"['parameter', 'ClassLoader.findResources(String name)']"
485,ClassLoader.registerAsParallelCapable(),what's the return of ClassLoader.registerAsParallelCapable()?,"the return of ClassLoader.registerAsParallelCapable() should be true if the caller is successfully registered as
          parallel capable and false if otherwise..","['return', 'ClassLoader.registerAsParallelCapable()']"
486,ClassLoader.getSystemResource(String name),what's the return of ClassLoader.getSystemResource(String name)?,"the return of ClassLoader.getSystemResource(String name) should be A URL object for reading the
          resource, or null if the resource could not be found.","['return', 'ClassLoader.getSystemResource(String name)']"
487,ClassLoader.getSystemResource(String name),what's the parameter of ClassLoader.getSystemResource(String name)?,the parameter of ClassLoader.getSystemResource(String name) should be  The resource name.,"['parameter', 'ClassLoader.getSystemResource(String name)']"
488,ClassLoader.getSystemResources(String name),what's the return of ClassLoader.getSystemResources(String name)?,"the return of ClassLoader.getSystemResources(String name) should be An enumeration of resource URL
          objects.","['return', 'ClassLoader.getSystemResources(String name)']"
489,ClassLoader.getSystemResources(String name),what's the parameter of ClassLoader.getSystemResources(String name)?,the parameter of ClassLoader.getSystemResources(String name) should be  The resource name.,"['parameter', 'ClassLoader.getSystemResources(String name)']"
490,ClassLoader.getResourceAsStream(String name),what's the return of ClassLoader.getResourceAsStream(String name)?,the return of ClassLoader.getResourceAsStream(String name) should be an input stream for reading the specified resource..,"['return', 'ClassLoader.getResourceAsStream(String name)']"
491,ClassLoader.getResourceAsStream(String name),what's the parameter of ClassLoader.getResourceAsStream(String name)?,the parameter of ClassLoader.getResourceAsStream(String name) should be  The resource name.,"['parameter', 'ClassLoader.getResourceAsStream(String name)']"
492,ClassLoader.getSystemResourceAsStream(String name),what's the return of ClassLoader.getSystemResourceAsStream(String name)?,"the return of ClassLoader.getSystemResourceAsStream(String name) should be An input stream for reading the resource, or null
          if the resource could not be found.","['return', 'ClassLoader.getSystemResourceAsStream(String name)']"
493,ClassLoader.getSystemResourceAsStream(String name),what's the parameter of ClassLoader.getSystemResourceAsStream(String name)?,the parameter of ClassLoader.getSystemResourceAsStream(String name) should be  The resource name.,"['parameter', 'ClassLoader.getSystemResourceAsStream(String name)']"
494,ClassLoader.getParent(),what's the return of ClassLoader.getParent()?,the return of ClassLoader.getParent() should be the parent class loader for delegation. Some implementations may use null to represent the bootstrap class loader. This method will return null in such implementations if this class loader's parent is the bootstrap class loader..,"['return', 'ClassLoader.getParent()']"
495,ClassLoader.getSystemClassLoader(),what's the return of ClassLoader.getSystemClassLoader()?,"the return of ClassLoader.getSystemClassLoader() should be the system class loader for delegation. This is the default delegation parent for new ClassLoader instances, and is typically the class loader used to start the application..","['return', 'ClassLoader.getSystemClassLoader()']"
496,"ClassLoader.definePackage(String name, String specTitle, String specVersion, String specVendor, String implTitle, String implVersion, String implVendor, URL sealBase)","what's the return of ClassLoader.definePackage(String name, String specTitle, String specVersion, String specVendor, String implTitle, String implVersion, String implVendor, URL sealBase)?","the return of ClassLoader.definePackage(String name, String specTitle, String specVersion, String specVendor, String implTitle, String implVersion, String implVendor, URL sealBase) should be specTitle - The specification title.","['return', 'ClassLoader.definePackage(String name, String specTitle, String specVersion, String specVendor, String implTitle, String implVersion, String implVendor, URL sealBase)']"
497,"ClassLoader.definePackage(String name, String specTitle, String specVersion, String specVendor, String implTitle, String implVersion, String implVendor, URL sealBase)","what's the parameter of ClassLoader.definePackage(String name, String specTitle, String specVersion, String specVendor, String implTitle, String implVersion, String implVendor, URL sealBase)?","the parameter of ClassLoader.definePackage(String name, String specTitle, String specVersion, String specVendor, String implTitle, String implVersion, String implVendor, URL sealBase) should be  The package name.","['parameter', 'ClassLoader.definePackage(String name, String specTitle, String specVersion, String specVendor, String implTitle, String implVersion, String implVendor, URL sealBase)']"
498,"ClassLoader.definePackage(String name, String specTitle, String specVersion, String specVendor, String implTitle, String implVersion, String implVendor, URL sealBase)","what's the parameter of ClassLoader.definePackage(String name, String specTitle, String specVersion, String specVendor, String implTitle, String implVersion, String implVendor, URL sealBase)?","the parameter of ClassLoader.definePackage(String name, String specTitle, String specVersion, String specVendor, String implTitle, String implVersion, String implVendor, URL sealBase) should be  The package name.","['parameter', 'ClassLoader.definePackage(String name, String specTitle, String specVersion, String specVendor, String implTitle, String implVersion, String implVendor, URL sealBase)']"
499,ClassLoader.getPackage(String name),what's the return of ClassLoader.getPackage(String name)?,the return of ClassLoader.getPackage(String name) should be a Package that has been defined by this class loader or any of its ancestors..,"['return', 'ClassLoader.getPackage(String name)']"
500,ClassLoader.getPackage(String name),what's the parameter of ClassLoader.getPackage(String name)?,the parameter of ClassLoader.getPackage(String name) should be  The package name.,"['parameter', 'ClassLoader.getPackage(String name)']"
501,ClassLoader.getPackages(),what's the return of ClassLoader.getPackages()?,the return of ClassLoader.getPackages() should be all of the Packages defined by this class loader and its ancestors..,"['return', 'ClassLoader.getPackages()']"
502,ClassLoader.findLibrary(String libname),what's the return of ClassLoader.findLibrary(String libname)?,"the return of ClassLoader.findLibrary(String libname) should be the absolute path name of a native library. The VM invokes this method to locate the native libraries that belong to classes loaded with this class loader. If this method returns null, the VM searches the library along the path specified as the ""java.library.path"" property..","['return', 'ClassLoader.findLibrary(String libname)']"
503,ClassLoader.findLibrary(String libname),what's the parameter of ClassLoader.findLibrary(String libname)?,the parameter of ClassLoader.findLibrary(String libname) should be  The library name.,"['parameter', 'ClassLoader.findLibrary(String libname)']"
504,"ClassLoader.setPackageAssertionStatus(String packageName, boolean enabled)","what's the parameter of ClassLoader.setPackageAssertionStatus(String packageName, boolean enabled)?","the parameter of ClassLoader.setPackageAssertionStatus(String packageName, boolean enabled) should be  The name of the package whose package default assertion status
         is to be set. A null value indicates the unnamed
         package that is ""current""
         (see section 7.4.2 of
         The Java™ Language Specification.).","['parameter', 'ClassLoader.setPackageAssertionStatus(String packageName, boolean enabled)']"
505,"ClassLoader.setClassAssertionStatus(String className, boolean enabled)","what's the parameter of ClassLoader.setClassAssertionStatus(String className, boolean enabled)?","the parameter of ClassLoader.setClassAssertionStatus(String className, boolean enabled) should be  The fully qualified class name of the top.","['parameter', 'ClassLoader.setClassAssertionStatus(String className, boolean enabled)']"
506,Comparable.compareTo(T o),what's the return of Comparable.compareTo(T o)?,"the return of Comparable.compareTo(T o) should be a negative integer, zero, or a positive integer as this object
          is less than, equal to, or greater than the specified object..","['return', 'Comparable.compareTo(T o)']"
507,Comparable.compareTo(T o),what's the parameter of Comparable.compareTo(T o)?,the parameter of Comparable.compareTo(T o) should be  the object to be compared..,"['parameter', 'Comparable.compareTo(T o)']"
508,Object.toString(),what's the return of Object.toString()?,"the return of Object.toString() should be the string representation of this Package. Its value is the string ""package "" and the package name. If the package title is defined it is appended. If the package version is defined it is appended..","['return', 'Object.toString()']"
509,Number.intValue(),what's the return of Number.intValue()?,the return of Number.intValue() should be the value of this Short as an int after a widening primitive conversion..,"['return', 'Number.intValue()']"
510,Number.longValue(),what's the return of Number.longValue()?,the return of Number.longValue() should be the value of this Short as a long after a widening primitive conversion..,"['return', 'Number.longValue()']"
511,Number.floatValue(),what's the return of Number.floatValue()?,the return of Number.floatValue() should be the value of this Short as a float after a widening primitive conversion..,"['return', 'Number.floatValue()']"
512,Number.doubleValue(),what's the return of Number.doubleValue()?,the return of Number.doubleValue() should be the value of this Short as a double after a widening primitive conversion..,"['return', 'Number.doubleValue()']"
513,Object.hashCode(),what's the return of Object.hashCode()?,the return of Object.hashCode() should be the hash code computed from the package name..,"['return', 'Object.hashCode()']"
514,Object.equals(Object obj),what's the return of Object.equals(Object obj)?,"the return of Object.equals(Object obj) should be true if the objects are the same;
          false otherwise..","['return', 'Object.equals(Object obj)']"
515,Object.equals(Object obj),what's the parameter of Object.equals(Object obj)?,the parameter of Object.equals(Object obj) should be  the object to compare with..,"['parameter', 'Object.equals(Object obj)']"
516,Enum<E.name(),what's the return of Enum<E.name()?,"the return of Enum<E.name() should be the name of this enum constant, exactly as declared in its enum declaration. Most programmers should use the toString() method in preference to this one, as the toString method may return a more user-friendly name. This method is designed primarily for use in specialized situations where correctness depends on getting the exact name, which will not vary from release to release..","['return', 'Enum<E.name()']"
517,Enum<E.ordinal(),what's the return of Enum<E.ordinal()?,"the return of Enum<E.ordinal() should be the ordinal of this enumeration constant (its position in its enum declaration, where the initial constant is assigned an ordinal of zero). Most programmers will have no use for this method. It is designed for use by sophisticated enum-based data structures, such as EnumSet and EnumMap..","['return', 'Enum<E.ordinal()']"
518,Object.toString(),what's the return of Object.toString()?,"the return of Object.toString() should be the string representation of this Package. Its value is the string ""package "" and the package name. If the package title is defined it is appended. If the package version is defined it is appended..","['return', 'Object.toString()']"
519,Object.equals(Object other),what's the return of Object.equals(Object other)?,the return of Object.equals(Object other) should be true if the specified object is equal to this enum constant..,"['return', 'Object.equals(Object other)']"
520,Object.equals(Object other),what's the parameter of Object.equals(Object other)?,the parameter of Object.equals(Object other) should be  the object to be compared for equality with this object..,"['parameter', 'Object.equals(Object other)']"
521,Object.hashCode(),what's the return of Object.hashCode()?,the return of Object.hashCode() should be the hash code computed from the package name..,"['return', 'Object.hashCode()']"
522,Object.clone(),what's the return of Object.clone()?,the return of Object.clone() should be a shallow copy of this AbstractMap instance: the keys and values themselves are not cloned..,"['return', 'Object.clone()']"
523,Enum.compareTo(E o),what's the return of Enum.compareTo(E o)?,"the return of Enum.compareTo(E o) should be a negative integer, zero, or a positive integer as this object
          is less than, equal to, or greater than the specified object..","['return', 'Enum.compareTo(E o)']"
524,Enum.compareTo(E o),what's the parameter of Enum.compareTo(E o)?,the parameter of Enum.compareTo(E o) should be  the object to be compared..,"['parameter', 'Enum.compareTo(E o)']"
