api_element,cq,suggest_sen,kwd
Character.getName(int codePoint),what's the return of Character.getName(int codePoint)?,"the return of Character.getName(int codePoint) should be the Unicode name of the specified character codePoint, or null if the code point is unassigned. Character.UnicodeBlock.of(codePoint).toString().replace('_', ' ') + "" "" + Integer.toHexString(codePoint).toUpperCase(Locale.ENGLISH);.","['return', 'Character.getName(int codePoint)']"
Object.equals(Object obj),what's the return of Object.equals(Object obj)?,"the return of Object.equals(Object obj) should be true if the objects are the same;
          false otherwise..","['return', 'Object.equals(Object obj)']"
Object.equals(Object obj),what's the parameter of Object.equals(Object obj)?,the parameter of Object.equals(Object obj) should be  the object to compare with..,"['parameter', 'Object.equals(Object obj)']"
Object.hashCode(),what's the return of Object.hashCode()?,the return of Object.hashCode() should be the hash code computed from the package name..,"['return', 'Object.hashCode()']"
Object.toString(),what's the return of Object.toString()?,"the return of Object.toString() should be the string representation of this Package. Its value is the string ""package "" and the package name. If the package title is defined it is appended. If the package version is defined it is appended..","['return', 'Object.toString()']"
Character.UnicodeScript.values(),what's the return of Character.UnicodeScript.values()?,"the return of Character.UnicodeScript.values() should be an array containing the constants of this enum type, in the order they are declared. This method may be used to iterate over the constants as follows: for (Character.UnicodeScript c : Character.UnicodeScript.values()) System.out.println(c);.","['return', 'Character.UnicodeScript.values()']"
Character.UnicodeScript.valueOf(String name),what's the return of Character.UnicodeScript.valueOf(String name)?,the return of Character.UnicodeScript.valueOf(String name) should be the enum constant of this type with the specified name. The string must match exactly an identifier used to declare an enum constant in this type. (Extraneous whitespace characters are not permitted.).,"['return', 'Character.UnicodeScript.valueOf(String name)']"
Character.UnicodeScript.valueOf(String name),what's the parameter of Character.UnicodeScript.valueOf(String name)?,the parameter of Character.UnicodeScript.valueOf(String name) should be  the name of the enum constant to be returned..,"['parameter', 'Character.UnicodeScript.valueOf(String name)']"
Character.UnicodeScript.of(int codePoint),what's the return of Character.UnicodeScript.of(int codePoint)?,the return of Character.UnicodeScript.of(int codePoint) should be the enum constant representing the Unicode script of which the given character (Unicode code point) is assigned to..,"['return', 'Character.UnicodeScript.of(int codePoint)']"
Character.UnicodeScript.forName(String scriptName),what's the return of Character.UnicodeScript.forName(String scriptName)?,the return of Character.UnicodeScript.forName(String scriptName) should be the UnicodeScript constant with the given Unicode script name or the script name alias. Script names and their aliases are determined by The Unicode Standard. The files Scripts<version>.txt and PropertyValueAliases<version>.txt define script names and the script name aliases for a particular version of the standard. The Character class specifies the version of the standard that it supports..,"['return', 'Character.UnicodeScript.forName(String scriptName)']"
Character.UnicodeScript.forName(String scriptName),what's the parameter of Character.UnicodeScript.forName(String scriptName)?,the parameter of Character.UnicodeScript.forName(String scriptName) should be  A UnicodeScript name..,"['parameter', 'Character.UnicodeScript.forName(String scriptName)']"
CharSequence.length(),what's the return of CharSequence.length()?,the return of CharSequence.length() should be the length of this string. The length is equal to the number of Unicode code units in the string..,"['return', 'CharSequence.length()']"
CharSequence.charAt(int index),what's the return of CharSequence.charAt(int index)?,"the return of CharSequence.charAt(int index) should be the char value at the specified index. An index ranges from 0 to length() - 1. The first char value of the sequence is at index 0, the next at index 1, and so on, as for array indexing..","['return', 'CharSequence.charAt(int index)']"
"CharSequence.subSequence(int start, int end)","what's the return of CharSequence.subSequence(int start, int end)?","the return of CharSequence.subSequence(int start, int end) should be a new character sequence that is a subsequence of this sequence. sb.subSequence(begin,&nbsp;end) behaves in exactly the same way as the invocation sb.substring(begin,&nbsp;end) This method is provided so that this class can implement the CharSequence interface..","['return', 'CharSequence.subSequence(int start, int end)']"
Object.toString(),what's the return of Object.toString()?,"the return of Object.toString() should be the string representation of this Package. Its value is the string ""package "" and the package name. If the package title is defined it is appended. If the package version is defined it is appended..","['return', 'Object.toString()']"
CharSequence.chars(),what's the return of CharSequence.chars()?,the return of CharSequence.chars() should be a stream of int zero-extending the char values from this sequence. Any char which maps to a surrogate code point is passed through uninterpreted..,"['return', 'CharSequence.chars()']"
CharSequence.codePoints(),what's the return of CharSequence.codePoints()?,"the return of CharSequence.codePoints() should be a stream of code point values from this sequence. Any surrogate pairs encountered in the sequence are combined as if by Character.toCodePoint and the result is passed to the stream. Any other code units, including ordinary BMP characters, unpaired surrogates, and undefined code units, are zero-extended to int values which are then passed to the stream..","['return', 'CharSequence.codePoints()']"
Object.toString(),what's the return of Object.toString()?,"the return of Object.toString() should be the string representation of this Package. Its value is the string ""package "" and the package name. If the package title is defined it is appended. If the package version is defined it is appended..","['return', 'Object.toString()']"
Class.toGenericString(),what's the return of Class.toGenericString()?,"the return of Class.toGenericString() should be a string describing this Class, including information about modifiers and type parameters. The string is formatted as a list of type modifiers, if any, followed by the kind of type (empty string for primitive types and class, enum, interface, or @interface, as appropriate), followed by the type's name, followed by an angle-bracketed comma-separated list of the type's type parameters, if any. A space is used to separate modifiers from one another and to separate any modifiers from the kind of type. The modifiers occur in canonical order. If there are no type parameters, the type parameter list is elided..","['return', 'Class.toGenericString()']"
Class.forName(String className),what's the return of Class.forName(String className)?,"the return of Class.forName(String className) should be the Class object associated with the class or interface with the given string name. Invoking this method is equivalent to: Class.forName(className, true, currentLoader) where currentLoader denotes the defining class loader of the current class. Class t = Class.forName(""java.lang.Thread"").","['return', 'Class.forName(String className)']"
Class.forName(String className),what's the parameter of Class.forName(String className)?,the parameter of Class.forName(String className) should be  the fully qualified name of the desired class..,"['parameter', 'Class.forName(String className)']"
"Class.forName(String name, boolean initialize, ClassLoader loader)","what's the return of Class.forName(String name, boolean initialize, ClassLoader loader)?","the return of Class.forName(String name, boolean initialize, ClassLoader loader) should be the Class object associated with the class or interface with the given string name, using the given class loader. Given the fully qualified name for a class or interface (in the same format returned by getName) this method attempts to locate, load, and link the class or interface. The specified class loader is used to load the class or interface. If the parameter loader is null, the class is loaded through the bootstrap class loader. The class is initialized only if the initialize parameter is true and if it has not been initialized earlier. Class.forName(""Foo"") is equivalent to: Class.forName(""Foo"", true, this.getClass().getClassLoader()) Note that this method throws errors related to loading, linking or initializing as specified in Sections 12.2, 12.3 and 12.4 of The Java Language Specification. Note that this method does not check whether the requested class is accessible to its caller..","['return', 'Class.forName(String name, boolean initialize, ClassLoader loader)']"
"Class.forName(String name, boolean initialize, ClassLoader loader)","what's the parameter of Class.forName(String name, boolean initialize, ClassLoader loader)?","the parameter of Class.forName(String name, boolean initialize, ClassLoader loader) should be  fully qualified name of the desired class.","['parameter', 'Class.forName(String name, boolean initialize, ClassLoader loader)']"
"Class.forName(String name, boolean initialize, ClassLoader loader)","what's the parameter of Class.forName(String name, boolean initialize, ClassLoader loader)?","the parameter of Class.forName(String name, boolean initialize, ClassLoader loader) should be  fully qualified name of the desired class.","['parameter', 'Class.forName(String name, boolean initialize, ClassLoader loader)']"
Class.newInstance(),what's the return of Class.newInstance()?,"the return of Class.newInstance() should be a newly allocated instance of the class represented by this
          object..","['return', 'Class.newInstance()']"
Class.isInstance(Object obj),what's the return of Class.isInstance(Object obj)?,the return of Class.isInstance(Object obj) should be true if obj is an instance of this class.,"['return', 'Class.isInstance(Object obj)']"
Class.isInstance(Object obj),what's the parameter of Class.isInstance(Object obj)?,the parameter of Class.isInstance(Object obj) should be  the object to check.,"['parameter', 'Class.isInstance(Object obj)']"
Class.isAssignableFrom(Class<?> cls),what's the return of Class.isAssignableFrom(Class<?> cls)?,"the return of Class.isAssignableFrom(Class<?> cls) should be the boolean value indicating whether objects of the
 type cls can be assigned to objects of this class.","['return', 'Class.isAssignableFrom(Class<?> cls)']"
Class.isInterface(),what's the return of Class.isInterface()?,"the return of Class.isInterface() should be true if this object represents an interface;
          false otherwise..","['return', 'Class.isInterface()']"
Class.isArray(),what's the return of Class.isArray()?,"the return of Class.isArray() should be true if this object represents an array class;
          false otherwise..","['return', 'Class.isArray()']"
Class.isPrimitive(),what's the return of Class.isPrimitive()?,the return of Class.isPrimitive() should be true if and only if this class represents a primitive type.,"['return', 'Class.isPrimitive()']"
Class.isAnnotation(),what's the return of Class.isAnnotation()?,"the return of Class.isAnnotation() should be true if this Class object represents an annotation type. Note that if this method returns true, isInterface() would also return true, as all annotation types are also interfaces..","['return', 'Class.isAnnotation()']"
Class.isSynthetic(),what's the return of Class.isSynthetic()?,the return of Class.isSynthetic() should be true if this class is a synthetic class; returns false otherwise..,"['return', 'Class.isSynthetic()']"
Class.getName(),what's the return of Class.getName()?,"the return of Class.getName() should be the name of the entity (class, interface, array class, primitive type, or void) represented by this Class object, as a String. Element Type Encoding boolean Z byte B char C class or interface Lclassname; double D float F int I long J short S String.class.getName() returns ""java.lang.String"" byte.class.getName() returns ""byte"" (new Object[3]).getClass().getName() returns ""[Ljava.lang.Object;"" (new int[3][4][5][6][7][8][9]).getClass().getName() returns ""[[[[[[[I"".","['return', 'Class.getName()']"
Class.getClassLoader(),what's the return of Class.getClassLoader()?,the return of Class.getClassLoader() should be the class loader for the class. Some implementations may use null to represent the bootstrap class loader. This method will return null in such implementations if this class was loaded by the bootstrap class loader..,"['return', 'Class.getClassLoader()']"
GenericDeclaration.getTypeParameters(),what's the return of GenericDeclaration.getTypeParameters()?,"the return of GenericDeclaration.getTypeParameters() should be an array of TypeVariable objects that represent the type variables declared by the generic declaration represented by this GenericDeclaration object, in declaration order. Returns an array of length 0 if the underlying generic declaration declares no type variables..","['return', 'GenericDeclaration.getTypeParameters()']"
Class.getSuperclass(),what's the return of Class.getSuperclass()?,"the return of Class.getSuperclass() should be the Class representing the superclass of the entity (class, interface, primitive type or void) represented by this Class. If this Class represents either the Object class, an interface, a primitive type, or void, then null is returned. If this object represents an array class then the Class object representing the Object class is returned..","['return', 'Class.getSuperclass()']"
Class.getGenericSuperclass(),what's the return of Class.getGenericSuperclass()?,"the return of Class.getGenericSuperclass() should be the Type representing the direct superclass of the entity (class, interface, primitive type or void) represented by this Class..","['return', 'Class.getGenericSuperclass()']"
Class.getPackage(),what's the return of Class.getPackage()?,"the return of Class.getPackage() should be the package of the class, or null if no package
         information is available from the archive or codebase..","['return', 'Class.getPackage()']"
Class.getInterfaces(),what's the return of Class.getInterfaces()?,the return of Class.getInterfaces() should be an array of interfaces implemented by this class..,"['return', 'Class.getInterfaces()']"
Class.getGenericInterfaces(),what's the return of Class.getGenericInterfaces()?,the return of Class.getGenericInterfaces() should be the Types representing the interfaces directly implemented by the class or interface represented by this object..,"['return', 'Class.getGenericInterfaces()']"
Class.getComponentType(),what's the return of Class.getComponentType()?,the return of Class.getComponentType() should be the Class representing the component type of an array. If this class does not represent an array class this method returns null..,"['return', 'Class.getComponentType()']"
Class.getModifiers(),what's the return of Class.getModifiers()?,"the return of Class.getModifiers() should be the Java language modifiers for this class or interface, encoded in an integer. The modifiers consist of the Java Virtual Machine's constants for public, protected, private, final, static, abstract and interface; they should be decoded using the methods of class Modifier..","['return', 'Class.getModifiers()']"
Class.getSigners(),what's the return of Class.getSigners()?,"the return of Class.getSigners() should be the signers of this class, or null if there are no signers.  In
          particular, this method returns null if this object represents
          a primitive type or void..","['return', 'Class.getSigners()']"
Class.getEnclosingMethod(),what's the return of Class.getEnclosingMethod()?,"the return of Class.getEnclosingMethod() should be the immediately enclosing method of the underlying class, if
     that class is a local or anonymous class; otherwise null..","['return', 'Class.getEnclosingMethod()']"
Class.getEnclosingConstructor(),what's the return of Class.getEnclosingConstructor()?,"the return of Class.getEnclosingConstructor() should be the immediately enclosing constructor of the underlying class, if
     that class is a local or anonymous class; otherwise null..","['return', 'Class.getEnclosingConstructor()']"
Class.getDeclaringClass(),what's the return of Class.getDeclaringClass()?,the return of Class.getDeclaringClass() should be the declaring class for this class.,"['return', 'Class.getDeclaringClass()']"
Class.getEnclosingClass(),what's the return of Class.getEnclosingClass()?,the return of Class.getEnclosingClass() should be the immediately enclosing class of the underlying class. If the underlying class is a top level class this method returns null..,"['return', 'Class.getEnclosingClass()']"
Class.getSimpleName(),what's the return of Class.getSimpleName()?,the return of Class.getSimpleName() should be the simple name of the underlying class as given in the source code. Returns an empty string if the underlying class is anonymous..,"['return', 'Class.getSimpleName()']"
Type.getTypeName(),what's the return of Type.getTypeName()?,the return of Type.getTypeName() should be an informative string for the name of this type.,"['return', 'Type.getTypeName()']"
Class.getCanonicalName(),what's the return of Class.getCanonicalName()?,"the return of Class.getCanonicalName() should be the canonical name of the underlying class as defined by the Java Language Specification. Returns null if the underlying class does not have a canonical name (i.e., if it is a local or anonymous class or an array whose component type does not have a canonical name)..","['return', 'Class.getCanonicalName()']"
Class.isAnonymousClass(),what's the return of Class.isAnonymousClass()?,the return of Class.isAnonymousClass() should be true if and only if the underlying class is an anonymous class..,"['return', 'Class.isAnonymousClass()']"
Class.isLocalClass(),what's the return of Class.isLocalClass()?,the return of Class.isLocalClass() should be true if and only if the underlying class is a local class..,"['return', 'Class.isLocalClass()']"
Class.isMemberClass(),what's the return of Class.isMemberClass()?,the return of Class.isMemberClass() should be true if and only if the underlying class is a member class..,"['return', 'Class.isMemberClass()']"
Class.getClasses(),what's the return of Class.getClasses()?,"the return of Class.getClasses() should be an array containing Class objects representing all the public classes and interfaces that are members of the class represented by this Class object. This includes public class and interface members inherited from superclasses and public class and interface members declared by the class. This method returns an array of length 0 if this Class object has no public member classes or interfaces. This method also returns an array of length 0 if this Class object represents a primitive type, an array class, or void..","['return', 'Class.getClasses()']"
Class.getFields(),what's the return of Class.getFields()?,the return of Class.getFields() should be an array containing Field objects reflecting all the accessible public fields of the class or interface represented by this Class object..,"['return', 'Class.getFields()']"
Class.getMethods(),what's the return of Class.getMethods()?,"the return of Class.getMethods() should be an array containing Method objects reflecting all the public methods of the class or interface represented by this Class object, including those declared by the class or interface and those inherited from superclasses and superinterfaces..","['return', 'Class.getMethods()']"
Class.getConstructors(),what's the return of Class.getConstructors()?,"the return of Class.getConstructors() should be an array containing Constructor objects reflecting all the public constructors of the class represented by this Class object. An array of length 0 is returned if the class has no public constructors, or if the class is an array class, or if the class reflects a primitive type or void. Note that while this method returns an array of Constructor<T> objects (that is an array of constructors from this class), the return type of this method is Constructor<?>[] and not Constructor<T>[] as might be expected. This less informative return type is necessary since after being returned from this method, the array could be modified to hold Constructor objects for different classes, which would violate the type guarantees of Constructor<T>[]..","['return', 'Class.getConstructors()']"
Class.getField(String name),what's the return of Class.getField(String name)?,"the return of Class.getField(String name) should be a Field object that reflects the specified public member field of the class or interface represented by this Class object. The name parameter is a String specifying the simple name of the desired field. If C declares a public field with the name specified, that is the field to be reflected. If no field was found in step 1 above, this algorithm is applied recursively to each direct superinterface of C. The direct superinterfaces are searched in the order they were declared. If no field was found in steps 1 and 2 above, and C has a superclass S, then this algorithm is invoked recursively upon S. If C has no superclass, then a NoSuchFieldException is thrown..","['return', 'Class.getField(String name)']"
Class.getField(String name),what's the parameter of Class.getField(String name)?,the parameter of Class.getField(String name) should be  the field name.,"['parameter', 'Class.getField(String name)']"
"Class.getMethod(String name, Class<?>... parameterTypes)","what's the return of Class.getMethod(String name, Class<?>... parameterTypes)?","the return of Class.getMethod(String name, Class<?>... parameterTypes) should be a Method object that reflects the specified public member method of the class or interface represented by this Class object. The name parameter is a String specifying the simple name of the desired method. The parameterTypes parameter is an array of Class objects that identify the method's formal parameter types, in declared order. If parameterTypes is null, it is treated as if it were an empty array. C is searched for a matching method, as defined below. If a matching method is found, it is reflected. If no matching method is found by step 1 then: If C is a class other than Object, then this algorithm is invoked recursively on the superclass of C. If C is the class Object, or if C is an interface, then the superinterfaces of C (if any) are searched for a matching method. If any such method is found, it is reflected..","['return', 'Class.getMethod(String name, Class<?>... parameterTypes)']"
"Class.getMethod(String name, Class<?>... parameterTypes)","what's the parameter of Class.getMethod(String name, Class<?>... parameterTypes)?","the parameter of Class.getMethod(String name, Class<?>... parameterTypes) should be  the name of the method.","['parameter', 'Class.getMethod(String name, Class<?>... parameterTypes)']"
Class.getConstructor(Class<?>... parameterTypes),what's the return of Class.getConstructor(Class<?>... parameterTypes)?,"the return of Class.getConstructor(Class<?>... parameterTypes) should be a Constructor object that reflects the specified public constructor of the class represented by this Class object. The parameterTypes parameter is an array of Class objects that identify the constructor's formal parameter types, in declared order. If this Class object represents an inner class declared in a non-static context, the formal parameter types include the explicit enclosing instance as the first parameter..","['return', 'Class.getConstructor(Class<?>... parameterTypes)']"
Class.getDeclaredClasses(),what's the return of Class.getDeclaredClasses()?,"the return of Class.getDeclaredClasses() should be an array of Class objects reflecting all the classes and interfaces declared as members of the class represented by this Class object. This includes public, protected, default (package) access, and private classes and interfaces declared by the class, but excludes inherited classes and interfaces. This method returns an array of length 0 if the class declares no classes or interfaces as members, or if this Class object represents a primitive type, an array class, or void..","['return', 'Class.getDeclaredClasses()']"
Class.getDeclaredFields(),what's the return of Class.getDeclaredFields()?,"the return of Class.getDeclaredFields() should be an array of Field objects reflecting all the fields declared by the class or interface represented by this Class object. This includes public, protected, default (package) access, and private fields, but excludes inherited fields..","['return', 'Class.getDeclaredFields()']"
Class.getDeclaredMethods(),what's the return of Class.getDeclaredMethods()?,"the return of Class.getDeclaredMethods() should be an array containing Method objects reflecting all the declared methods of the class or interface represented by this Class object, including public, protected, default (package) access, and private methods, but excluding inherited methods..","['return', 'Class.getDeclaredMethods()']"
Class.getDeclaredConstructors(),what's the return of Class.getDeclaredConstructors()?,"the return of Class.getDeclaredConstructors() should be an array of Constructor objects reflecting all the constructors declared by the class represented by this Class object. These are public, protected, default (package) access, and private constructors. The elements in the array returned are not sorted and are not in any particular order. If the class has a default constructor, it is included in the returned array. This method returns an array of length 0 if this Class object represents an interface, a primitive type, an array class, or void..","['return', 'Class.getDeclaredConstructors()']"
Class.getDeclaredField(String name),what's the return of Class.getDeclaredField(String name)?,the return of Class.getDeclaredField(String name) should be a Field object that reflects the specified declared field of the class or interface represented by this Class object. The name parameter is a String that specifies the simple name of the desired field..,"['return', 'Class.getDeclaredField(String name)']"
Class.getDeclaredField(String name),what's the parameter of Class.getDeclaredField(String name)?,the parameter of Class.getDeclaredField(String name) should be  the name of the field.,"['parameter', 'Class.getDeclaredField(String name)']"
"Class.getDeclaredMethod(String name, Class<?>... parameterTypes)","what's the return of Class.getDeclaredMethod(String name, Class<?>... parameterTypes)?","the return of Class.getDeclaredMethod(String name, Class<?>... parameterTypes) should be a Method object that reflects the specified declared method of the class or interface represented by this Class object. The name parameter is a String that specifies the simple name of the desired method, and the parameterTypes parameter is an array of Class objects that identify the method's formal parameter types, in declared order. If more than one method with the same parameter types is declared in a class, and one of these methods has a return type that is more specific than any of the others, that method is returned; otherwise one of the methods is chosen arbitrarily. If the name is ""<init>""or ""<clinit>"" a NoSuchMethodException is raised..","['return', 'Class.getDeclaredMethod(String name, Class<?>... parameterTypes)']"
"Class.getDeclaredMethod(String name, Class<?>... parameterTypes)","what's the parameter of Class.getDeclaredMethod(String name, Class<?>... parameterTypes)?","the parameter of Class.getDeclaredMethod(String name, Class<?>... parameterTypes) should be  the name of the method.","['parameter', 'Class.getDeclaredMethod(String name, Class<?>... parameterTypes)']"
Class.getDeclaredConstructor(Class<?>... parameterTypes),what's the return of Class.getDeclaredConstructor(Class<?>... parameterTypes)?,"the return of Class.getDeclaredConstructor(Class<?>... parameterTypes) should be a Constructor object that reflects the specified constructor of the class or interface represented by this Class object. The parameterTypes parameter is an array of Class objects that identify the constructor's formal parameter types, in declared order. If this Class object represents an inner class declared in a non-static context, the formal parameter types include the explicit enclosing instance as the first parameter..","['return', 'Class.getDeclaredConstructor(Class<?>... parameterTypes)']"
Class.getResourceAsStream(String name),what's the return of Class.getResourceAsStream(String name)?,"the return of Class.getResourceAsStream(String name) should be A InputStream object or null if
              no resource with this name is found.","['return', 'Class.getResourceAsStream(String name)']"
Class.getResourceAsStream(String name),what's the parameter of Class.getResourceAsStream(String name)?,the parameter of Class.getResourceAsStream(String name) should be  name of the desired resource.,"['parameter', 'Class.getResourceAsStream(String name)']"
Class.getResource(String name),what's the return of Class.getResource(String name)?,"the return of Class.getResource(String name) should be A  URL object or null if no
              resource with this name is found.","['return', 'Class.getResource(String name)']"
Class.getResource(String name),what's the parameter of Class.getResource(String name)?,the parameter of Class.getResource(String name) should be  name of the desired resource.,"['parameter', 'Class.getResource(String name)']"
Class.getProtectionDomain(),what's the return of Class.getProtectionDomain()?,"the return of Class.getProtectionDomain() should be the ProtectionDomain of this class. If there is a security manager installed, this method first calls the security manager's checkPermission method with a RuntimePermission(""getProtectionDomain"") permission to ensure it's ok to get the ProtectionDomain..","['return', 'Class.getProtectionDomain()']"
Class.desiredAssertionStatus(),what's the return of Class.desiredAssertionStatus()?,"the return of Class.desiredAssertionStatus() should be the assertion status that would be assigned to this class if it were to be initialized at the time this method is invoked. If this class has had its assertion status set, the most recent setting will be returned; otherwise, if any package default assertion status pertains to this class, the most recent setting for the most specific pertinent package default assertion status is returned; otherwise, if this class is not a system class (i.e., it has a class loader) its class loader's default assertion status is returned; otherwise, the system class default assertion status is returned..","['return', 'Class.desiredAssertionStatus()']"
Class.isEnum(),what's the return of Class.isEnum()?,the return of Class.isEnum() should be true if and only if this class was declared as an enum in the source code..,"['return', 'Class.isEnum()']"
Class.getEnumConstants(),what's the return of Class.getEnumConstants()?,the return of Class.getEnumConstants() should be the elements of this enum class or null if this Class object does not represent an enum type..,"['return', 'Class.getEnumConstants()']"
Class.cast(Object obj),what's the return of Class.cast(Object obj)?,"the return of Class.cast(Object obj) should be the object after casting, or null if obj is null.","['return', 'Class.cast(Object obj)']"
Class.cast(Object obj),what's the parameter of Class.cast(Object obj)?,the parameter of Class.cast(Object obj) should be  the object to be cast.,"['parameter', 'Class.cast(Object obj)']"
Class.asSubclass(Class<U> clazz),what's the return of Class.asSubclass(Class<U> clazz)?,"the return of Class.asSubclass(Class<U> clazz) should be this Class object, cast to represent a subclass of
    the specified class object..","['return', 'Class.asSubclass(Class<U> clazz)']"
AnnotatedElement.getAnnotation(Class<A> annotationClass),what's the return of AnnotatedElement.getAnnotation(Class<A> annotationClass)?,"the return of AnnotatedElement.getAnnotation(Class<A> annotationClass) should be this element's annotation for the specified annotation type if
     present on this element, else null.","['return', 'AnnotatedElement.getAnnotation(Class<A> annotationClass)']"
AnnotatedElement.isAnnotationPresent(Class<? extends Annotation> annotationClass),what's the return of AnnotatedElement.isAnnotationPresent(Class<? extends Annotation> annotationClass)?,"the return of AnnotatedElement.isAnnotationPresent(Class<? extends Annotation> annotationClass) should be true if an annotation for the specified type is present on this element, else false. This method is designed primarily for convenient access to marker annotations..","['return', 'AnnotatedElement.isAnnotationPresent(Class<? extends Annotation> annotationClass)']"
AnnotatedElement.getAnnotationsByType(Class<A> annotationClass),what's the return of AnnotatedElement.getAnnotationsByType(Class<A> annotationClass)?,"the return of AnnotatedElement.getAnnotationsByType(Class<A> annotationClass) should be all this element's annotations for the specified annotation type if
     associated with this element, else an array of length zero.","['return', 'AnnotatedElement.getAnnotationsByType(Class<A> annotationClass)']"
AnnotatedElement.getAnnotations(),what's the return of AnnotatedElement.getAnnotations()?,the return of AnnotatedElement.getAnnotations() should be annotations present on this element.,"['return', 'AnnotatedElement.getAnnotations()']"
AnnotatedElement.getDeclaredAnnotation(Class<A> annotationClass),what's the return of AnnotatedElement.getDeclaredAnnotation(Class<A> annotationClass)?,"the return of AnnotatedElement.getDeclaredAnnotation(Class<A> annotationClass) should be this element's annotation for the specified annotation type if
     directly present on this element, else null.","['return', 'AnnotatedElement.getDeclaredAnnotation(Class<A> annotationClass)']"
AnnotatedElement.getDeclaredAnnotationsByType(Class<A> annotationClass),what's the return of AnnotatedElement.getDeclaredAnnotationsByType(Class<A> annotationClass)?,"the return of AnnotatedElement.getDeclaredAnnotationsByType(Class<A> annotationClass) should be all this element's annotations for the specified annotation type if
     directly or indirectly present on this element, else an array of length zero.","['return', 'AnnotatedElement.getDeclaredAnnotationsByType(Class<A> annotationClass)']"
AnnotatedElement.getDeclaredAnnotations(),what's the return of AnnotatedElement.getDeclaredAnnotations()?,the return of AnnotatedElement.getDeclaredAnnotations() should be annotations directly present on this element.,"['return', 'AnnotatedElement.getDeclaredAnnotations()']"
Class.getAnnotatedSuperclass(),what's the return of Class.getAnnotatedSuperclass()?,the return of Class.getAnnotatedSuperclass() should be an AnnotatedType object that represents the use of a type to specify the superclass of the entity represented by this Class object. (The use of type Foo to specify the superclass in '... extends Foo' is distinct from the declaration of type Foo.).,"['return', 'Class.getAnnotatedSuperclass()']"
Class.getAnnotatedInterfaces(),what's the return of Class.getAnnotatedInterfaces()?,the return of Class.getAnnotatedInterfaces() should be an array of AnnotatedType objects that represent the use of types to specify superinterfaces of the entity represented by this Class object. (The use of type Foo to specify a superinterface in '... implements Foo' is distinct from the declaration of type Foo.).,"['return', 'Class.getAnnotatedInterfaces()']"
ClassLoader.loadClass(String name),what's the return of ClassLoader.loadClass(String name)?,the return of ClassLoader.loadClass(String name) should be The resulting Class object.,"['return', 'ClassLoader.loadClass(String name)']"
ClassLoader.loadClass(String name),what's the parameter of ClassLoader.loadClass(String name)?,the parameter of ClassLoader.loadClass(String name) should be  The binary name of the class.,"['parameter', 'ClassLoader.loadClass(String name)']"
"ClassLoader.loadClass(String name, boolean resolve)","what's the return of ClassLoader.loadClass(String name, boolean resolve)?","the return of ClassLoader.loadClass(String name, boolean resolve) should be resolve - If true then resolve the class.","['return', 'ClassLoader.loadClass(String name, boolean resolve)']"
"ClassLoader.loadClass(String name, boolean resolve)","what's the parameter of ClassLoader.loadClass(String name, boolean resolve)?","the parameter of ClassLoader.loadClass(String name, boolean resolve) should be  The binary name of the class.","['parameter', 'ClassLoader.loadClass(String name, boolean resolve)']"
ClassLoader.getClassLoadingLock(String className),what's the return of ClassLoader.getClassLoadingLock(String className)?,"the return of ClassLoader.getClassLoadingLock(String className) should be the lock object for class loading operations. For backward compatibility, the default implementation of this method behaves as follows. If this ClassLoader object is registered as parallel capable, the method returns a dedicated object associated with the specified class name. Otherwise, the method returns this ClassLoader object..","['return', 'ClassLoader.getClassLoadingLock(String className)']"
ClassLoader.getClassLoadingLock(String className),what's the parameter of ClassLoader.getClassLoadingLock(String className)?,the parameter of ClassLoader.getClassLoadingLock(String className) should be  The name of the to.,"['parameter', 'ClassLoader.getClassLoadingLock(String className)']"
ClassLoader.findClass(String name),what's the return of ClassLoader.findClass(String name)?,the return of ClassLoader.findClass(String name) should be The resulting Class object.,"['return', 'ClassLoader.findClass(String name)']"
ClassLoader.findClass(String name),what's the parameter of ClassLoader.findClass(String name)?,the parameter of ClassLoader.findClass(String name) should be  The binary name of the class.,"['parameter', 'ClassLoader.findClass(String name)']"
"ClassLoader.defineClass(byte[] b, int off, int len)","what's the return of ClassLoader.defineClass(byte[] b, int off, int len)?","the return of ClassLoader.defineClass(byte[] b, int off, int len) should be off - The start offset in b of the class data.","['return', 'ClassLoader.defineClass(byte[] b, int off, int len)']"
"ClassLoader.defineClass(String name, byte[] b, int off, int len)","what's the return of ClassLoader.defineClass(String name, byte[] b, int off, int len)?","the return of ClassLoader.defineClass(String name, byte[] b, int off, int len) should be b - The bytes that make up the class data.  The bytes in positions
         off through off+len-1 should have the format
         of a valid class file as defined by
         The Java™ Virtual Machine Specification..","['return', 'ClassLoader.defineClass(String name, byte[] b, int off, int len)']"
"ClassLoader.defineClass(String name, byte[] b, int off, int len)","what's the parameter of ClassLoader.defineClass(String name, byte[] b, int off, int len)?","the parameter of ClassLoader.defineClass(String name, byte[] b, int off, int len) should be  The expected binary name of the class, or
         null if not known.","['parameter', 'ClassLoader.defineClass(String name, byte[] b, int off, int len)']"
